district_mukim,avg_floorsm,rental_2021,rental_2022,location,types,source
Tabuan Laru Height  ,170.0,1000 - 1500,1000 - 1500,Chonglin Park ,APARTMENT,2022/SARAWAK
Taman Sri Perkasa / Lee Ling Villa,74.0,600 - 750,600 - 750,Chonglin Park ,APARTMENT,2022/SARAWAK
The Echelon,81.25,1500 - 2000,1500 - 2000,Chonglin Park ,APARTMENT,2022/SARAWAK
Tribeca Suites Apartment,133.0,1500 - 2000,1500 - 2000,Chonglin Park ,APARTMENT,2022/SARAWAK
Yoshi Square,64.0,500 - 600,500 - 600,Chonglin Park ,APARTMENT,2022/SARAWAK
Zen 66 Apartment,81.75,1000 - 1500,1000 - 1500,Chonglin Park ,APARTMENT,2022/SARAWAK
Riveria Bay,115.0,900 - 1300,900 - 1300,Bahagian Samarahan,APARTMENT,2022/SARAWAK
IKE Village,92.0,800 - 1000,800 - 1000,Bahagian Samarahan,APARTMENT,2022/SARAWAK
I-Mas Village,82.0,700 - 1000,700 - 1000,Bahagian Samarahan,APARTMENT,2022/SARAWAK
Uni Square Apartment,79.89,900 - 1000,900 - 1000,Bahagian Samarahan,APARTMENT,2022/SARAWAK
Jalan RTM Apartment,120.0,1000 - 1300,1000 - 1300,Bahagian Sibu,APARTMENT,2022/SARAWAK
Salim Apartment,92.0,800 - 1000,800 - 1000,Bahagian Sibu,APARTMENT,2022/SARAWAK
De Summit,157.0,1200 - 1500,1200 - 1500,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
D'Jewel,189.98,2000 - 3000,2000 - 3000,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
Gala Residences,130.0,1500 - 2200,1500 - 2200,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
HK Square,98.0,1500 - 2000,1500 - 2000,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
Kasuma Resort,162.0,1200 - 1800,1200 - 1800,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
Kuching Riverine Resort,154.0,1500 - 2000,1500 - 2000,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
MJC Sky Villa,93.0,1200 - 2000,1200 - 2000,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
Nu Ryegates,97.54,1500 - 2000,1500 - 2000,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
Royal Richmond Gold,77.0,1200 - 2000,1200 - 2000,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
Sapphire On The Park,144.0,1800 - 2500,1800 - 2500,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
The Cube ,111.0,1500 - 1800,1500 - 1800,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
The Park Residences,109.76,1800 - 2500,1800 - 2500,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
The Rex,99.0,1500 - 2000,1500 - 2000,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
Trinity Residence,93.0,1800 - 2500,1800 - 2500,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
Vermont Suites,138.0,1500 - 2000,1500 - 2000,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
Vivacity Jazz Suites,93.0,1500 - 2000,1500 - 2000,Bahagian Kuching,CONDOMINIUM,2022/SARAWAK
The Ochard Residences,145.0,1000 - 1500,1000 - 1500,Bahagian Samarahan,CONDOMINIUM,2022/SARAWAK
Waterfront Residence,156.0,2000 - 3000,2000 - 3000,Bahagian Sibu,CONDOMINIUM,2022/SARAWAK
Serene Height,150.0,,950 - 1300,Bahagian Miri,CONDOMINIUM,2022/SARAWAK
The Wharf,148.0,,2500 - 2800,Bahagian Miri,CONDOMINIUM,2022/SARAWAK
Green Gardens,167.0,800 - 850,850,Timur Laut,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Reservoir Garden,130.0,1100,1100 - 1200,Timur Laut,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Lip Sin,90.0,900 - 950,900 - 1000,Timur Laut,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Prestige III,130.0,850,900,Barat Daya,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Iping,92.0,1400,1500,Barat Daya,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Saw Kit,93.0,1300,1400,Barat Daya,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Bandar Bertam Perdana,76.0,600 - 800,600 - 960,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Bandar Putra Bertam ,66.0,550 - 750,550 - 750,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Bagan,83.0,700 - 1000,750 - 1000,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Bertam Indah,65.0,500 - 600,500 - 600,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Kerapu,78.0,450 - 700,500 - 700,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Meranti / Seri Ceraya,78.0,600 - 700,700 - 800,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Merbau,95.0,600 - 700,600 - 800,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Pinang,73.0,650 - 800,700 - 800,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sungai Dua Utama,74.0,700 - 800,700 - 800,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Telok Air Tawar,79.0,700 - 750,700 - 750,Seberang Perai Utara,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Chai Leng,85.09785714285714,750 - 1000,650 - 1200,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Alma,81.79333333333334,450,450,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman B,91.64500000000001,350 - 450,350 - 500,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Duku,67.34555555555556,350 - 600,350 - 652,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Impian Alma ,59.45,450 - 550,450 - 550,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Impian Jaya,69.2,500,500,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Inderawasih,92.74333333333334,550 - 800,550 - 800,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Kota Permai,78.11,500 - 600,500 - 600,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Machang Bubok,68.08,350 - 500,350 - 500,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Mangga,55.83,350 - 600,350 - 600,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Remia,69.49,350 - 400,350,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sejahtera,59.476,600 - 700,550 - 800,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sentul Jaya,62.29,550,550 - 650,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Kijang,59.480000000000004,400 - 550,400 - 750,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Rambai,84.08,600 - 650,500 - 700,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Siakap,85.19,600,600,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Bandar Tasek Mutiara,70.88923076923076,500 - 730,500 - 750,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Belibis,65.03,500 - 680,500 - 680,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Halaman Indah,76.13333333333334,600 - 700,600 - 800,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Hijauan Valdor,61.93954705260379,700 - 850,700 - 950,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Intan Delima,74.75,600 - 650,600 - 650,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Merak ,55.840000000000025,600 - 650,600 - 650,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Merak Jaya,66.40200000000002,,400 - 700,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Puteri Gunung,55.82999999999999,450,450 - 460,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Rebana,63.91600000000001,400 - 450,400 - 460,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Tangling ,61.873333333333335,400 - 680,400 - 680,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Bandar Baru Air Itam,140.0,1600,1600,Timur Laut,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Island Glades,143.0,1400 - 1500,1500,Timur Laut,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Bukit Gambier,130.0,1300-1500,1500,Timur Laut,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Tanjong Permai,190.0,1400 - 1500,1500,Timur Laut,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Palmyra Residen,160.0,1000,1000,Barat Daya,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Prestige III,130.0,900,950 - 1000,Barat Daya,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Setia Vista,120.0,1500 -1600,1600,Barat Daya,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Sunway Tunas Jaya,163.0,1400,1500,Barat Daya,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Nibong,140.0,1500,1600,Barat Daya,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Sunway Mutiara,149.0,1500,1600,Barat Daya,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Bandar Putra Bertam,129.70000000000002,750 - 1000,900 - 1300,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Bandar Putra Bertam - Casa Innova,169.695,900 - 1200,1000 - 1300,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Bagan,150.31666666666666,1000 - 1500,1000 - 1600,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Bagan Baru,142.47666666666666,1300 - 1500,1300 - 1500,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Bagan Lallang,167.60333333333335,800 - 1000,800 - 1200,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Cantik,130.09,830 - 1300,850 - 1300,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Casa Maya,206.56800000000004,1200 - 1500,1200 - 1500,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Dedap Indah,167.03,800 - 1200,800 - 1200,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Desa Murni,101.708,630 - 1000,700 - 1000,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Mekar,143.28,900 - 1000,900 - 1000,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Mekar Sari,180.25,1100 - 1200,1100 - 1200,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Selayang Permai,141.24,700 - 1300,700 - 1300,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Sungai Nyior,176.75,1100 - 1200,1100 - 1200,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Tanjung Indah,144.2,1050 - 1200,1100 - 1500,Seberang Perai Utara,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Bandar Machang Bubok,133.82666666666665,650 - 1200,650 - 1200,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Bandar Seberang Jaya,135.96714285714285,850 - 1600,800 - 1600,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Bayu Mutiara,150.17666666666662,1400 - 1800,1100 - 1800,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Chai Leng,147.84636363636366,900 - 1200,900 - 1400,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Desa Damai,116.65363636363635,630 - 750,500 - 1200,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Inderawasih,136.70454545454547,1000 - 1300,1000 - 1540,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Makok,141.54250000000002,500 - 800,500 - 700,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Saujana Permai,163.8975,1000 - 1800,800 - 1800,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Juru,153.9375,1000 - 1450,1000 - 1600,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Tenang ,119.86,800,500 - 800,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Tropical Residency,188.22333333333336,,950 - 1500,Seberang Perai Tengah,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Bandar Batu Kawan,116.21333333333334,900 - 1100,900 - 1100,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Bandar Tasek Mutiara,144.08807692307698,850 - 1500,850 - 1500,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Eco Horizon (Fasa 1),190.80249999999998,2600,2200 - 3200,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Eco Meadow,167.69,2000 - 2100,1900 - 2300,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Raintree Park 1,150.0,1000 - 1500,1000 - 1500,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Residensi Villa Mutiara,167.31437500000004,900 - 1000,900 - 1200,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Crescentia (Callisia),159.45,1000 - 1500,1000 - 1500,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Idaman,147.0975,1000,1000 - 1200,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Kasawari,134.86777777777777,800 - 1200,900 - 1200,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Merpati Indah,140.06199999999998,,1000 - 1300,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Pearl Impian,136.575,,900 - 1200,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Pearl Saujana,145.02,900 - 1500,900 - 1500,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Sintar Indah,148.84,800 - 1000,800 - 1000,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Tambun Emas,164.22333333333333,1200,1200 - 1300,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Taman Tambun Indah,151.17,900 - 1000,900 - 1000 ,Seberang Perai Selatan,DOUBLE-STOREY TERRACE,2022/PULAU%20PINANG
Mont Tierra Residents,195.0,2500,2500,Timur Laut,THREE STOREY TERRACE,2022/PULAU%20PINANG
Seri Tanjung Pinang,280.0,3400 - 3600,3600 - 3800,Timur Laut,THREE STOREY TERRACE,2022/PULAU%20PINANG
Setia Pulau Mutiara,255.0,1850,1850,Barat Daya,THREE STOREY TERRACE,2022/PULAU%20PINANG
Southbay Residence,278.0,2000 - 2200,2000,Barat Daya,THREE STOREY TERRACE,2022/PULAU%20PINANG
Taman Gottlieb / Solok Air Rajah,124.0,2000,2000,Timur Laut,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Lau Geok Swee,145.0,1500 - 1800,1500 - 1800,Timur Laut,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Bayan Baru,121.0,1600 - 2000,1600 - 2000,Barat Daya,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Desa Ara Permai,107.0,,1000,Seberang Perai Utara,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Robina,104.24000000000001,800,800,Seberang Perai Utara,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Wira,113.9,,1000,Seberang Perai Utara,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bukit Minyak Standalux,71.58,650,650,Seberang Perai Tengah,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Desa Juru Indah,97.63,,500,Seberang Perai Tengah,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Kota Permai,95.83666666666666,700 - 1000,700 - 1000,Seberang Perai Tengah,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Macang Manis,92.04,600,600,Seberang Perai Tengah,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Manis,85.75,,700,Seberang Perai Tengah,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Markisah,83.0,,750 - 800,Seberang Perai Tengah,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Ria,86.56,800,800,Seberang Perai Tengah,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Seri Rambai,108.0,700,700 - 900,Seberang Perai Tengah,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Sukun,80.43,500,500,Seberang Perai Tengah,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Bandar Nibong Tebal,114.0,400,400,Seberang Perai Selatan,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bahagia,95.0,550,550,Seberang Perai Selatan,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Cenderawasih,79.0,,800,Seberang Perai Selatan,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Cowin,82.0,,1000,Seberang Perai Selatan,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Sungai Duri Indah,118.0,,850,Seberang Perai Selatan,SINGLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Casa Permai,195.0,1900 - 2100,1900 - 2100,Timur Laut,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Eden Ferringhi Resort,154.0,2400 - 3000,2400 - 3000,Timur Laut,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Island Glades,194.0,2500 - 2700,2500 - 2700,Timur Laut,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Island Park,174.0,2700,2200 - 3300,Timur Laut,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Midlands,183.0,2800,2800,Timur Laut,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Desa Ria,189.0,2800,2800,Barat Daya,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Bandar Butterworth,207.948,800 - 850,800 - 850,Seberang Perai Utara,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Tama Desa Murni,199.04,,800,Seberang Perai Utara,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bagan,174.0,1300 - 1600,1300 - 1600,Seberang Perai Utara,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bagan Lallang,223.02,2500,2500,Seberang Perai Utara,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bertam,168.56,,800,Seberang Perai Utara,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Riang,173.765,600,600,Seberang Perai Utara,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Seri Senangan,218.0,1300,1300,Seberang Perai Utara,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Seri Tawar,131.0,,850,Seberang Perai Utara,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Alma Indah,200.86,1500,1500,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Alma Ria,168.0,1000 - 1200,1200,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Aman Jaya,166.86,900,900,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Budiman,190.64,1600,1600,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bukit Kecil,214.13,1300,1300,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bukit Minyak Indah,183.0,1200 - 1800,1200 - 1800,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bukit Minyak Permai,235.0,1000,1000,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bukit Minyak Utama,223.93,1000,1000,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Chai Leng,180.0,1150 - 2200,1150 - 2200,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Hwa Seng,184.925,3000,3000,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Impian Alma,189.0,1600,1600,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Inderawasih,297.0,,2800,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Juru Setia,209.13,,1700,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Permai Jaya,145.0,1000,1000,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Perpaduan,199.11,1300,1300,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Santuari (Santuari Garden),190.78333333333333,1200 - 1300,1200 - 1300,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Seri Juru,163.5083333333333,800 - 1300,1100 - 1400,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Sri Tenang,123.0,800,800,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Villa Indah,195.0,1200,1200,Seberang Perai Tengah,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Bandar Tasek Mutiara,173.38,1500,1320 - 1500,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Hijauan Hills,222.0,1000 - 1200,1000 - 1200,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Raintree Park 1,183.68,1300,1300,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Residensi Villa Mutiara,197.0,1400,1200 - 1400,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Bakap Indah,179.0,1800,1800,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Cowin,221.77,,550,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Hijauan Valdor,208.15,,1200,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Idaman,141.6,,1700,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Jawi Indah,198.0,1200,1200,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Jawi Permai,199.88,,750,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Kasawari,134.38,1200,1200 - 1300,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Villa Mutiara,165.34,500,500,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Taman Villa Mutiara Indah,197.28,,1500,Seberang Perai Selatan,DOUBLE STOREY SEMI-DETACH,2022/PULAU%20PINANG
Bayu Feringghi,309.0,6000,6000,Timur Laut,THREE STOREY SEMI - DETACH,2022/PULAU%20PINANG
E & O Seri Tanjung Pinang,372.0,5000 - 7000,5000 - 7500,Timur Laut,THREE STOREY SEMI - DETACH,2022/PULAU%20PINANG
,390.0,7000,7000,Timur Laut,THREE STOREY SEMI - DETACH,2022/PULAU%20PINANG
Feringghi Park,267.0,3000 - 3600,3000 - 3600,Timur Laut,THREE STOREY SEMI - DETACH,2022/PULAU%20PINANG
Sunway Bukit Gambier,278.0,4000,4000,Timur Laut,THREE STOREY SEMI - DETACH,2022/PULAU%20PINANG
Tanjung Villa,174.0,3500,3500,Timur Laut,THREE STOREY SEMI - DETACH,2022/PULAU%20PINANG
Bay Garden,245.0,4500,4500,Barat Daya,THREE STOREY SEMI - DETACH,2022/PULAU%20PINANG
Setia Pearl Island,271.0,3500,3500,Barat Daya,THREE STOREY SEMI - DETACH,2022/PULAU%20PINANG
Medan Penaga,380.0,,3200 - 4000,Timur Laut,SINGLE STOREY DETACH,2022/PULAU%20PINANG
Tanjung Bungah,557.42,2000 - 2700,2000 - 2800,Timur Laut,SINGLE STOREY DETACH,2022/PULAU%20PINANG
Taman Rupawan,107.86,,650,Seberang Perai Utara,SINGLE STOREY DETACH,2022/PULAU%20PINANG
Taman Markisah,123.095,,2000,Seberang Perai Tengah,SINGLE STOREY DETACH,2022/PULAU%20PINANG
Taman Seri Remia,118.85,,1000,Seberang Perai Tengah,SINGLE STOREY DETACH,2022/PULAU%20PINANG
Beverly Hills,630.0,6000 - 7000,6000 - 8500,Timur Laut,DOUBLE STOREY DETACH,2022/PULAU%20PINANG
Feringghi Villas,370.0,3200,2800 - 4000,Timur Laut,DOUBLE STOREY DETACH,2022/PULAU%20PINANG
Taman Jasselton,650.0,5000 - 6500,4800 - 8000,Timur Laut,DOUBLE STOREY DETACH,2022/PULAU%20PINANG
Tanjung Bungah,464.0,7000 - 8000,7000,Timur Laut,DOUBLE STOREY DETACH,2022/PULAU%20PINANG
Bertam Perdana,160.97,,3300,Seberang Perai Utara,DOUBLE STOREY DETACH,2022/PULAU%20PINANG
Taman Merbau Jaya,424.6,,3000,Seberang Perai Utara,DOUBLE STOREY DETACH,2022/PULAU%20PINANG
