district_mukim,sample_size,avg_landsm,avg_floorsm,price_2021,price_2022,avg_pricePerct,location,types,source
Taman Sungai Dua Utama,1.0,121,83.0,345000,370000,7.2,Seberang Perai Utara,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Tasek Gelugor,1.0,121,89.0,,240000,ND,Seberang Perai Utara,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Bandar Macang Bubok                     ,1.0,111,86.6,290000,296000,2.07,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Alma Jaya (Fasa 4),3.0,118,76.66,,290000 - 310000,ND,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Amra                                ,1.0,102,63.595,,285000,ND,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Ara Indah                         ,1.0,115,81.11,280000,280000,Stable,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Berapit,1.0,111,82.91,288000,260000,-9.72,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Bidara,1.0,102,72.57,185000 - 230000,228000,11.22,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Bukit Minyak Indah,1.0,111,76.32,,300000,ND,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Duku                                ,2.0,111,75.26,280000 - 290000,272000 - 283000,-2.63,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Impian Jaya,1.0,111,76.63,315000,315000,Stable,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Impian Ria                          ,3.0,115,76.55,230000 - 282000,260000 - 310000,5.84,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Nirwana                             ,4.0,102,72.09,300000,300000 - 335000,5,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Sentul Jaya,1.0,111,79.45,256000 - 300000,290000,13.28,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Supreme,2.0,111,79.45,255000 - 350000,270000 - 300000,-4,Seberang Perai Tengah,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Belibis,3.0,102,71.0,225000 - 240000,210000 - 255000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Bistari,2.0,107,74.0,220000 - 270000,250000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Cegar,3.0,106,73.0,300000,280000 - 330000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Jawi Indah,2.0,111,76.0,270000 - 300000,270000 - 300000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Jawi Jaya,1.0,111,77.0,210000 - 215000,230000,8.7,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Merak Jaya,1.0,102,70.0,250000 - 285000,260000,-2.8,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
,3.0,111,72.0,210000 - 270000,200000 - 285000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Nilam Tanjung,1.0,139,77.0,320000 - 335000,325000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Pekatra Indah,1.0,111,79.0,212000,220000,3.8,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
,1.0,121,79.0,245000 - 258000,252000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Seri Bistari,1.0,112,82.0,240000 - 250000,250000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Seruling Emas,1.0,111,77.0,270000 - 300000,290000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Sintar Indah,1.0,112,82.0,248000 - 275000,260000,Stable,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Sungai Duri Indah,1.0,112,76.0,230000,250000,8.7,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Widuri,4.0,111,75.0,220000 - 240000,225000 - 250000,3.8,Seberang Perai Selatan,SINGLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Eastern Garden                          ,1.0,148.64,100.33500000000001,990000,1000000,Stable,Timur Laut,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Green Garden                            ,3.0,159.602,96.615,850000,870000 - 890000,4.705882352941177,Timur Laut,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Gelugor                           ,3.0,167.96,119.685,800000 - 900000,880000 - 1000000,2.3255813953488373,Timur Laut,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Lip Sin                           ,2.0,130,104.05000000000001,680000,650000 - 700000,Stable,Timur Laut,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Oriental                          ,1.0,135,106.83,,698000,ND,Timur Laut,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Bayan Baru                              ,1.0,143,94.995,500000 - 510000,550000,8.91089108910891,Barat Daya,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Prestige III                   ,1.0,130,106.85499999999999,410000 - 440000,470000,11.904761904761903,Barat Daya,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Manggis Indah                     ,2.0,118,78.92,340000 - 450000,390000 - 400000,2.1551724137930983,Barat Daya,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Saw Kit                           ,1.0,120,105.905,780000,780000,Stable,Barat Daya,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
"Taman Alma (Fasa 1, 2 & 3)                 ",1.0,123,85.51,,330000,ND,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman B                                   ,2.0,112,82.84,275000,290000 - 310000,9.09,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Belimbing,1.0,130,84.17,275000,300000,9.09,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Chai Leng                           ,6.0,132,92.5,348000 - 468000,310000 - 440000,Stable,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Haji Mohd Amin                        ,1.0,111,82.45,,220000,ND,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Impian Indah,7.0,113,80.72,285000 - 350000,255000 - 350000,Stable,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Impian Murni                        ,2.0,116,86.38,300000 - 340000,280000 - 315000,-7.99,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Inderawasih                         ,1.0,145,116.03,415000 - 460000,470000,7.22,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Keenways                            ,1.0,130,104.08,,510000,ND,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Kerjasama                           ,2.0,130,87.7,,300000,ND,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Kimsar                              ,3.0,130,91.97,,330000 - 350000,ND,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Kota Permai                         ,2.0,144,98.93,275000 - 380000,350000 - 360000,6,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Perwira                             ,1.0,131,85.82,,200000,ND,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Perwira Indah                       ,1.0,121,89.74,,290000,ND,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sentosa ,1.0,136,88.72,,250000,ND,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Sejahtera                      ,2.0,111,87.55,310000 - 360000,346000 - 360000,4,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Siakap,4.0,142,84.07,270000 - 380000,276000 - 360000,-2.54,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Rambai                          ,6.0,130,92.57,263000 - 320000,285000 - 330000,4,Seberang Perai Tengah,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Bandar Tasek Mutiara,2.0,111,81.0,285000 - 310000,300000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
,10.0,121,85.0,290000 - 350000,275000 - 365000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
,3.0,130,85.0,300000 - 320000,288000 - 320000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
,1.0,143,76.0,330000,290000,-12.1,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Intan Delima,5.0,123,90.0,325000 - 370000,325000 - 370000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Belatuk,1.0,130,98.0,260000,295000,13.5,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Berjaya,1.0,160,97.0,280000 - 290000,310000,8.8,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Cowin,2.0,121,85.0,,200000,ND,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Halaman Indah,1.0,121,78.0,270000 - 300000,290000,3.2,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
,4.0,133,78.0,280000 - 300000,280000 - 310000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
,5.0,143,81.0,300000 - 310000,290000 - 330000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Hijauan Valdor,7.0,113,71.0,296000 - 395000,318000 - 375000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Ilmu,1.0,121,86.0,275000 - 300000,249000,-12.6,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Nibong Tebal Jaya,1.0,128,85.0,250000,270000,8,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Pekaka,3.0,118,82.0,250000 - 275000,238000 - 300000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Puteri Gunung,1.0,155,76.0,230000 - 265000,250000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Selesa,1.0,133,88.0,,210000,ND,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sentosa,1.0,149,89.0,240000,245000,2.1,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Emas,1.0,120,80.0,225000 - 240000,250000,7.5,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Permai,1.0,158,101.0,,283000,ND,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Tasek,2.0,130,86.0,,260000 - 303000,ND,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sungai Duri Permai,1.0,158,80.0,250000,250000,Stable,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Transkrian,1.0,144,100.0,200000,230000,15,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Valdor Ria,1.0,121,89.0,,255000,ND,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Weng Tee,1.0,185,100.0,,118000,ND,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Villa Tanjung Permai,1.0,193,93.0,,270000,ND,Seberang Perai Selatan,SINGLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Serdang,1.0,130,105.0,370000,380000,2.7,Seberang Perai Utara,ONE AND A - HALF STOREY TERRACE,2022/PULAU%20PINANG
Rumah Murah Kampung Selamat,1.0,44,65.725,,125000,ND,Seberang Perai Utara,DOUBLE STOREY LOW - COST TERRACE,2022/PULAU%20PINANG
Bandar Batu Kawan (Halaman Seroja) ,7.0,67,70.0,250000,220000 - 270000,-2.9,Seberang Perai Selatan,DOUBLE STOREY LOW - COST TERRACE,2022/PULAU%20PINANG
Rumah Murah Jawi,1.0,84,78.0,,100000,ND,Seberang Perai Selatan,DOUBLE STOREY LOW - COST TERRACE,2022/PULAU%20PINANG
Taman Enggang Indah,1.0,60,77.0,170000,180000,5.9,Seberang Perai Selatan,DOUBLE STOREY LOW - COST TERRACE,2022/PULAU%20PINANG
Taman Desa Murni,2.0,74,73.58,283000 - 300000,255000 - 320000,Stable,Seberang Perai Utara,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
,1.0,82,96.675,288000 - 315000,300000,Stable,Seberang Perai Utara,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Bandar Machang Bubok,3.0,111,154.0,400000 - 500000,370000 - 470000,-2.5,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Bandar Seberang Jaya,1.0,97,110.0,335000 - 480000,400000,5.1,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Berapit Indah,1.0,112,169.0,,350000,ND,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Bidara,3.0,108,129.0,1970000 - 350000,280000 - 320000,4.3,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Cermai ,1.0,111,155.0,,475000,ND,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Cerok To'Kun Jaya,1.0,84,119.0,,393000,ND,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Gemilang Jaya ,1.0,112,148.0,,555000,ND ,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Impian Alma ,1.0,111,148.0,345000 - 450000,380000,-8.4,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Pauh ,1.0,111,120.0,,423000,ND,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Permata ,1.0,104,111.0,330000,300000,-9.1,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Selamat ,5.0,99,133.0,300000 - 400000,350000 - 400000,5.7,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Seri Sejahtera ,1.0,111,168.0,,480000,ND,Seberang Perai Tengah,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Pekatra Indah,2.0,102,115.0,270000,270000 - 280000,Stable,Seberang Perai Selatan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Sri Acheh,2.0,90,118.0,,200000 - 260000,ND,Seberang Perai Selatan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Taman Widuri,1.0,111,124.0,200000 - 250000,230000,5.7,Seberang Perai Selatan,DOUBLE STOREY MEDIUM - COST TERRACE,2022/PULAU%20PINANG
Bandar Baru Air Itam                    ,1.0,151,130.975,695000,750000,7.913669064748201,Timur Laut,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Island Park                             ,2.0,153.378,170.515,940000 - 1300000,930000 - 1050000,-10.1,Timur Laut,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Kawasan Jalan Burmah                    ,1.0,155.236,188.255,1470000,1630000,10.884353741496598,Timur Laut,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Pekaka                            ,2.0,148,118.885,880000 - 900000,810000 - 932000,4.719101123595506,Timur Laut,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Perak                             ,2.0,130,184.86499999999998,950000,830000 - 1012000,-3.052631578947368,Timur Laut,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Permai                            ,2.0,125,183.525,1040000,950000 - 1050000,-3.8461538461538463,Timur Laut,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Bandar Botanica Ct                      ,1.0,111,147.51999999999998,550000,598000,8.727272727272728,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Bayan Baru                              ,2.0,109,111.35,480000 - 667000,540000 - 570000,-5.841325196163906,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Desa Ara                                ,2.0,119,136.13,680000 - 700000,720000 - 750000,8.695652173913043,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Desa Ria                                ,1.0,156,162.95,900000 - 965000,1030000,6.7357512953367875,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Desaria Suria                           ,1.0,130,153.07999999999998,850000,840000,Stable,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Dua Villas @ One Residance              ,1.0,153,235.21499999999997,1280000 - 1425000,1450000,7.208872458410351,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Palmyra Residences                      ,2.0,119,167.07,480000 - 560000,500000,-2.912621359223301,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Prestige III                      ,2.0,130,189.46,530000 - 600000,580000 - 600000,3.508771929824561,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Setia Vista                             ,4.0,130,165.325,980000 - 1150000,900000 - 1100000,-5.8,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Sunway Bayan                            ,2.0,112,127.455,800000 - 854000,880000 - 890000,10.625,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Nibong                        ,2.0,130,146.29,835000 - 968000,918000 - 930000,Stable,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Titi Heights                      ,1.0,134,180.105,550000,600000,9.090909090909092,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Tunas Damai                       ,1.0,130,150.075,850000,930000,9.411764705882353,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Tunas Muda                        ,2.0,130,149.945,890000,805000 - 990000,Stable,Barat Daya,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Bandar Putra Bertam - Casa Innova,1.0,127,203.07500000000002,,460000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,3.0,143,203.07500000000002,400000 - 430000,430000 - 450000,6.024096385542169,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Bandar Putra Bertam,7.0,120,132.525,380000 - 400000,370000 - 440000,Stable,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,2.0,143,165.98,,425000 - 435000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Bertam Perdana,2.0,143,202.66,500000,505000 - 520000,2.5,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Bertama Perdana 5 (Eco Residence),2.0,143.5,166.97,,480000 - 530000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
BPI Complex,2.0,182,158.85,,350000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
North Malaya Credit,1.0,129.967,184.525,,468000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Bagan,3.0,124.951,179.335,,600000 - 700000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,1.0,140,185.35999999999999,,718000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,2.0,157.93,156.905,,600000 - 620000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,1.0,157.93,185.35999999999999,800000,810000,Stable,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Bagan Ajam,2.0,115,141.82500000000002,,550000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Bagan Lallang,2.0,121,173.63,537000 - 590000,555000 - 570000,Stable,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,3.0,121,182.2,650000 - 655000,600000 - 670000,-2.681992337164751,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,1.0,125.229,182.09,,680000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Bayu,1.0,111,153.055,,500000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Bertam Flora,1.0,119,159.82,,460000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Bertam Indah,1.0,133,140.09,360000 - 368000,395000,8.516483516483516,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Cassa Maya,3.0,139,231.485,590000 - 660000,575000 - 650000,Stable,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Desa Harmoni,1.0,157,217.34,,650000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Haji Ahmad Jamil,1.0,113,164.43499999999997,,380000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Jati,1.0,121,168.94,,650000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,1.0,135,183.315,,660000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Lean Fung ,1.0,130,167.51000000000002,,550000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Limbungan Indah,1.0,130,184.84,,548000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,1.0,143,184.84,600000 - 610000,650000,7.43801652892562,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Lotus,1.0,162,157.35,,445000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Mak Mandin Jaya ,1.0,111,162.12,630000,600000,-4.761904761904762,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Mawar,1.0,119,148.18,,490000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Melur,1.0,142.509,192.565,,660000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Merbau Indah,3.0,114,167.26,488000 - 550000,490000 - 565000,Stable,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Mesra Permai,1.0,126,175.66,,750000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,1.0,152,175.66,,795000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Penaga Ria,3.0,170,211.48,,550000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Perkasa,1.0,108,150.92,560000,580000,3.571428571428571,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Permatang Sintok,2.0,102,142.82,370000,400000 - 420000,10.81081081081081,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Ratna,1.0,173,170.19,,518000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Ria,1.0,126,174.77,,465000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Riang,1.0,124,156.625,,500000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Segar Indah ,1.0,111,165.505,,745000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Selayang Permai,1.0,108,159.79000000000002,600000,610000,Stable,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Bertam,1.0,143,147.39000000000001,,450000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Merbau,1.0,124,184.545,,600000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Murni,1.0,118,134.025,,530000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
,1.0,130,134.025,550000,560000,Stable,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Selayang,1.0,112,166.07,,575000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Tanjung,1.0,114,175.555,,600000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Seri Tawar,1.0,138,174.885,,620000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sing Tat,1.0,120.77,138.29500000000002,,470000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Cemerlang,1.0,118,178.64499999999998,,680000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Nasib,1.0,126,176.89,,515001,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Pinang,1.0,111,122.66499999999999,495000 - 500000,450000,-9.547738693467336,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sri Serdang,2.0,133,169.56,,399000 - 428000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
Taman Sukaria,2.0,130,163.5,,415000 - 457000,ND,Seberang Perai Utara,DOUBLE STOREY TERRACE,2022/PULAU%20PINANG
