Store,Address,state
FRESH HUB (SERI IMPIAN),"NO 37,38 & 39 JALAN SERI IMPIAN 1/2 TAMAN SERI IMPIAN 86000 KLUANG JOHOR",JOHOR
99 SPEEDMART SDN BHD (TG KARANG1) - 1043,"15 & 17, JALAN PB 1/1, PUSAT BANDAR TANJONG KARANG, 45500 TANJONG KARANG SELANGOR",SELANGOR
EMART XPRESS SDN BHD - SUKMA RIA,"LOT 1467, 1468 & 1469, BLOCK 14, SALAK LAND DISTRICT JALAN SULTAN TENGAH, PETRA JAYA 93050 KUCHING SARAWAK",SARAWAK
PASARAYA WELL-MART SA3,"NO.7&8, GROUND FLOOR SHOPLOT BUKIT SUBANG, COMMERCIAL CENTRE JALAN METAFASA U16/5, TAMAN BUKIT SUBANG 40160 SHAH ALAM SELANGOR",SELANGOR
EVERWIN MART SDN BHD,"SUBLOT 18 COMPRISED IN LOTS 2019 & 2020 BOTH IN BLOCK 18, MUKAH LAND DISTRICT 96400 MUKAH SARAWAK",SARAWAK
PASAR MINI AZMAN,NO. 38 JALAN POKAN JOHOL 73100 JOHOL NEGERI SEMBILAN,NEGERI SEMBILAN
FRIENDLY BEST MART (TEMENGGONG) SDN BHD (TMN SERI TEMENGGONG),"5,7,9,11, JALAN SRI TEMENGGONG 26/1, TMN SERI TEMENGGONG, JALAN TEMENGGONG AHMAD, 84000 MUAR JOHOR",JOHOR
XIRI (K.BERANG) MUKIM MANIR,"LOT 8217, MUKIM MANIR, KAMPUNG KUBANG JELA 21200 KUALA TERENGGANU TERENGGANU",TERENGGANU
BIG 10 GROCER (BUKIT BARU) SDN BHD,"NO 32, 32-1, 34, 34-1, 36, 36-1, 38,38-1, 40, 40-1, 42, 42-1, 44, 44-1, 46, 46-1, GF & 1ST FLOOR JALAN PNBBU 5, PUSAT NIAGA BUKIT BARU UTAMA 75150 BUKIT BARU MELAKA",MELAKA
PACIFIC GROCER & DEPARTMENT STORE (MENTAKAB STAR CITY),"LORONG BENDAHARA 1, MENTAKAB STAR CITY, 28400 MENTAKAB PAHANG",PAHANG
TMG EXPRESS 3000 (BATU TIONG) SDN BHD,"PT 18151, 18152 & 18153, GROUND FLOOR KAMPUNG BATU TIONG, JALAN BESAR DUNGUN 23000 KUALA DUNGUN TERENGGANU",TERENGGANU
MEGAMART SDN BHD (SEGAMAT),"NO 16,17,18,19,20 JALAN PUTRA 1/5 BANDAR IOI 85000 SEGAMAT JOHOR",JOHOR
99 SPEEDMART SDN BHD (TMN PUTRIMAS ) - 3124,"NO : 144 (GROUND FLOOR), JALAN PUTRI 1, TAMAN PUTRIMAS, 86200 SIMPANG RENGGAM JOHOR",JOHOR
99 SPEEDMART SDN BHD (CHAAH) - 1953,"NO: 3B (GROUND FLOOR), JALAN YONG PENG TAMAN SAUJANA 85400 CHAAH JOHOR",JOHOR
SEGI FRESH RANTAU PANJANG,"NO. 25, 27, 29, 31 & 33 JALAN RANTAU PANJANG 3/KU4 BATU 4 42200 KLANG SELANGOR",SELANGOR
99 SPEEDMART SDN BHD (TAMAN PERINDUSTRIAN I-PARK SAC) - 3064,NO: 115 & 116 (GROUND FLOOR) JALAN I-PARK SAC 1/1 TAMAN PERINDUSTRIAN I-PARK SAC 81400 SENAI JOHOR,JOHOR
SEGI FRESH GERIK,"NO. 35, 36, 37 & 38 JALAN REFLESIA 1 TAMAN REFLESIA FASA 1 33300 GERIK PERAK",PERAK
FAMILY W GROCER (BELADIN),GF SUBLOT 4 TO 10 OF PARENT LOT 80 BLOCK 18 SEBLOR LAND DISTRICT 94950 BELADIN SARAWAK,SARAWAK
WLS ENTERPRISE SDN BHD - KS,"PT 116, KAMPUNG SERENDAH 16450 KETEREH KELANTAN",KELANTAN
ILHAM IKHTIAR TEGUH RESOURCES,"LOT 4824, KAMPUNG BARU HUJUNG REPEK 16310 BACHOK KELANTAN",KELANTAN
B22-PASARAYA SAVE-LAPANGAN JAYA,"36 & 38, JALAN LAPANGAN 6 PUSAT PERNIAGAAN LAPANGAN JAYA 31350 IPOH PERAK",PERAK
BIG 10 GROCER (SEREMBAN) SDN BHD,NO 20 - 30 (GF & 1ST FLOOR) JALAN PKBB 2 PUSAT KOMERSIAL BUKT BLOSSOM 70100 SEREMBAN NEGERI SEMBILAN,NEGERI SEMBILAN
